time,bestSatId,maxElev_deg,dist_km
1200.0,9,5.407775506443785,2292.8760501059987
1210.0,9,5.468726266943472,2287.532068909096
1220.0,9,5.507936089225196,2284.102517847122
1230.0,9,5.525172287073944,2282.596967592076
1240.0,9,5.520327966218041,2283.0199841890135
1250.0,9,5.493423838586449,2285.371103118056
1260.0,9,5.44461054652833,2289.644596697403
1270.0,8,5.407273902215529,2292.9200940669075
1280.0,8,5.519071868423914,2283.129685445675
1290.0,8,5.609701173776666,2275.23155939022
1300.0,8,5.678637643533079,2269.2469457758284
1310.0,8,5.725473506174931,2265.1922991773504
1320.0,8,5.74992749313402,2263.078924089415
1330.0,8,5.75184778166363,2262.9130736402817
1340.0,8,5.731215076801434,2264.695873895529
1350.0,8,5.688146297091528,2268.423026603644
1360.0,8,5.622888061275236,2274.0852217792703
1370.0,7,5.713740889648488,2266.2071479039437
1380.0,7,5.812900170767307,2257.648153454935
1390.0,7,5.89006620071753,2251.015879928894
1400.0,7,5.944774436687154,2246.328821440086
1410.0,7,5.976690607120838,2243.6001888270544
1420.0,7,5.98561427883182,2242.838027479324
1430.0,7,5.971483979644073,2244.045034084625
1440.0,7,5.934378203975539,2247.2185479041045
1450.0,7,5.8745150573182645,2252.350476479386
1460.0,6,5.909420287206262,2249.356320676616
1470.0,6,6.017358563337352,2240.1294606047013
1480.0,6,6.10300772266182,2232.842326948185
1490.0,6,6.1658437343798544,2227.5154757406126
1500.0,6,6.205475936879208,2224.1640937758357
1510.0,6,6.2216526554174045,2222.798020555934
1520.0,6,6.2142655837481415,2223.4217016237035
1530.0,6,6.1833538524006615,2226.033983518296
1540.0,6,6.129101457209057,2230.6282777184474
1550.0,5,6.1060873108621845,2232.5808777408633
1560.0,5,6.223059971012597,2222.6792282282786
1570.0,5,6.317452647136577,2214.730130919169
1580.0,5,6.388682887549818,2208.75590130225
1590.0,5,6.436296563836713,2204.774070750597
1600.0,5,6.459987203775187,2202.796339961176
1610.0,5,6.4595964177299106,2202.8289447003795
1620.0,5,6.435120121057502,2204.872342009093
1630.0,5,6.386705472819026,2208.92146968875
1640.0,5,6.314652141103699,2214.965441725413
1650.0,4,6.42998329362257,2205.3015008255925
1660.0,4,6.533392862014562,2196.6829336365686
1670.0,4,6.613291760639313,2190.053823067385
1680.0,4,6.669163554797699,2185.433707313183
1690.0,4,6.700640756537273,2182.8364223512044
1700.0,4,6.70751320264612,2182.2698918885644
1710.0,4,6.689725602786763,2183.736609247475
1720.0,4,6.647387712007438,2187.232866625043
1730.0,4,6.580767700920459,2192.749153046738
1740.0,3,6.638107931497021,2188.0001667721735
1750.0,3,6.75081448790895,2178.704772559863
1760.0,3,6.8396675531159685,2171.4131267294465
1770.0,3,6.904085075549892,2166.146806109579
1780.0,3,6.94363549354122,2162.9217769577326
1790.0,3,6.958046893322622,2161.748213535001
1800.0,3,6.947216976805441,2162.6300475711146
1810.0,3,6.911208754572366,2165.565457650453
1820.0,3,6.850256295708873,2170.546310000974
1830.0,2,6.847408714914229,2170.7793742162225
1840.0,2,6.969702510931711,2160.7996763504984
1850.0,2,7.06780836353763,2152.8375551877366
1860.0,2,7.141070530414107,2146.9170336316447
1870.0,2,7.188991233625772,2143.056115648984
1880.0,2,7.211234329758642,2141.267150936686
1890.0,2,7.207641870102155,2141.555950209044
1900.0,2,7.178228376629929,2143.922463013151
1910.0,2,7.123190494657661,2148.35997513622
1920.0,1,7.057857309661177,2153.6433966553354
1930.0,1,7.190038407830861,2142.971849072445
1940.0,1,7.297704585427577,2134.331398697605
1950.0,1,7.3801238466638095,2127.748457957965
1960.0,1,7.436725911663019,2123.2432990541142
1970.0,1,7.467107629357367,2120.8303831267804
1980.0,1,7.471047706465601,2120.517731771589
1990.0,1,7.4485108705993985,2122.3069006921496
2000.0,1,7.399647639417791,2126.1930448188023
2010.0,1,7.324792258838785,2132.1648698029235
2020.0,0,7.411800449256222,2125.2256287556143
2030.0,0,7.529346530183071,2115.8988536418065
2040.0,0,7.62124754189321,2108.6451987584114
2050.0,0,7.686855920880467,2103.487295985069
2060.0,0,7.7256965074201265,2100.441815742636
2070.0,0,7.737480548634275,2099.519011773822
2080.0,0,7.722116002807585,2100.722312492898
2090.0,0,7.679705561427839,2104.048604457969
2100.0,0,7.610546175766081,2109.4881216538715
2110.0,65,7.634964138124939,2107.56543711959
2120.0,65,7.762720767614788,2097.5443058052074
2130.0,65,7.864442560465328,2089.6114298175657
2140.0,65,7.939397749752297,2083.7920445167038
2150.0,65,7.987031652417017,2080.1053023625977
2160.0,65,8.00698635519579,2078.563504052732
2170.0,65,7.999105869531279,2079.1722026120265
2180.0,65,7.963440471470649,2081.930086678129
2190.0,65,7.90024534003594,2086.8290112968975
2200.0,64,7.85949992708226,2089.99594354818
2210.0,64,7.997812855193531,2079.2720998957393
2220.0,64,8.109705713967815,2070.651564760021
2230.0,64,8.194360943323652,2064.1619864588743
2240.0,64,8.25114137879896,2059.8248992878366
2250.0,64,8.27961024281102,2057.6550658314995
2260.0,64,8.279543390605708,2057.6601574706515
2270.0,64,8.250933102717877,2059.84078522944
2280.0,64,8.193987891691371,2064.190522923259
2290.0,64,8.109129437659927,2070.695837282617
2300.0,63,8.234599259847029,2061.087149403132
2310.0,63,8.357029874358364,2051.770219282046
2320.0,63,8.451756200550324,2044.6014170025119
2330.0,63,8.518051839524444,2039.6048317050365
2340.0,63,8.55539573363193,2036.7977429641846
2350.0,63,8.56348998696021,2036.1900166495323
